SAMPLE_ID,PROTOCOL_NAME,DATA_TYPE,ASSAY_OUTCOME,CHANNEL_OUTCOME,AC50,EFFICACY,REPRODUCIBILITY,CURVE_RANK,FLAG,CAS,PUBCHEM_CID,PUBCHEM_SID,PURITY_RATING,PURITY_RATING_4M,SAMPLE_NAME,SMILES,TOX_21_ID,PURITY
NCGC00254747-01,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,56.3813158,-48.77387128,active_match,-7,,124495-18-7,3391107,144211161,A,A,Quinoxyfen,Fc1ccc(cc1)Oc2ccnc3cc(Cl)cc(Cl)c23,Tox21_300844,
NCGC00254767-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,possible blue (460 nm) auto fluorescent;,31218-83-4,5372405,144211180,A,A,Propetamphos,COP(=S)(NCC)OC(\C)=C\C(=O)OC(C)C,Tox21_300863,
NCGC00254859-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,67-68-5,679,144211274,A,A,Dimethyl sulfoxide,CS(C)=O,Tox21_300957,
NCGC00255127-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,possible blue (460 nm) auto fluorescent;,69-53-4,6249,144211733,D,,Ampicillin,OC(=O)[C@@H]2N3C(=O)[C@@H](NC(=O)[C@H](N)c1ccccc1)[C@H]3SC2(C)C,Tox21_301416,
NCGC00255303-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,64-19-7,176,144211770,A,A,Acetic acid,CC(=O)O,Tox21_301453,
NCGC00255435-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,762-04-9,12977,144212350,Fns,,Diethyl phosphite,CCOP(O)OCC,Tox21_302033,
NCGC00254596-01,tox21-luc-biochem-p1,ratio,inconclusive antagonist,inconclusive antagonist,,0,inconclusive,-1.33333,,335-67-1,9554,144211005,,,PFOA,FC(F)(C(F)(F)C(=O)O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Tox21_300688,
NCGC00163843-03,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,-0.125,possible blue (460 nm) auto fluorescent;,104206-82-8,175967,144214011,A,D,Mesotrione,O=C2CCCC(=O)C2C(=O)c1ccc(cc1[N+]([O-])=O)S(C)(=O)=O,Tox21_400050,
NCGC00160537-04,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,-0.04167,possible blue (460 nm) auto fluorescent;,66332-96-5,47898,144214046,A,A,Flutolanil,CC(C)Oc1cccc(c1)NC(=O)c2ccccc2C(F)(F)F,Tox21_400085,
NCGC00183003-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,16488-48-5,27891,144206803,A,A,Depolipon,[Cl-].CC[NH+](CC)CCOC(=O)c1ccc(NCCCC)cc1,Tox21_113252,
NCGC00254243-01,tox21-luc-biochem-p1,ratio,active antagonist,active antagonist,6.087914451,-44.19008822,active_match,-9,,101-20-2,7547,144210799,A,A,Triclocarban,Clc2ccc(NC(=O)Nc1ccc(Cl)cc1)cc2Cl,Tox21_300481,
NCGC00254272-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,69-09-0,6240,144210835,A,A,Chlorpromazine hydrochloride,Cl.CN(C)CCCN1c3ccccc3Sc2ccc(Cl)cc12,Tox21_300517,
NCGC00253932-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,79-06-1,6579,144210465,A,A,Acrylamide,C=CC(N)=O,Tox21_300145,
NCGC00254396-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,486-56-6,854019,144210932,A,A,Cotinine,CN2C(=O)CC[C@H]2c1cnccc1,Tox21_300615,
NCGC00254019-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,,108-95-2,996,144210362,A,A,Phenol,Oc1ccccc1,Tox21_300042,
NCGC00254844-01,tox21-luc-biochem-p1,ratio,inactive,inactive,,0,inactive_match,0,blue (460 nm) auto fluorescent;,487-06-9,2775,144211259,A,A,"5,7-Dimethoxy-2H-chromen-2-one",COc2cc(cc1OC(=O)C=Cc12)OC,Tox21_300942,
